iter	Passed	Remaining
641	80898	45111
642	81018	44982
643	81144	44856
644	81268	44729
645	81384	44597
646	81505	44468
647	81617	44335
648	81748	44211
649	81892	44095
650	82017	43969
651	82143	43843
652	82268	43716
653	82399	43593
654	82515	43462
655	82645	43338
656	82757	43205
657	82905	43090
658	83037	42967
659	83162	42841
660	83282	42712
661	83436	42600
662	83553	42469
663	83676	42342
664	83797	42214
665	83949	42100
666	84070	41972
667	84194	41845
668	84327	41722
669	84452	41596
670	84576	41469
671	84699	41341
672	84826	41215
673	84951	41089
674	85102	40975
675	85225	40847
676	85351	40721
677	85486	40599
678	85594	40465
679	85719	40338
680	85848	40214
681	85974	40087
682	86116	39969
683	86235	39839
684	86356	39711
685	86486	39587
686	86606	39458
687	86736	39334
688	86865	39209
689	86996	39085
690	87134	38964
691	87263	38839
692	87389	38713
693	87508	38584
694	87619	38451
695	87748	38326
696	87869	38198
697	87994	38071
698	88122	37946
699	88275	37832
700	88399	37705
701	88472	37556
702	88608	37434
703	88733	37308
704	88853	37179
705	88982	37054
706	89106	36928
707	89262	36814
708	89398	36692
709	89524	36566
710	89644	36437
711	89774	36313
712	89901	36187
713	90026	36060
714	90157	35936
715	90309	35821
716	90430	35692
717	90556	35566
718	90677	35438
719	90806	35313
720	90931	35187
721	91059	35061
722	91175	34931
723	91305	34807
724	91451	34688
725	91564	34557
726	91689	34430
727	91814	34304
728	91939	34177
729	92046	34044
730	92168	33916
731	92295	33791
732	92441	33672
733	92571	33547
734	92688	33418
735	92804	33288
736	92934	33163
737	93045	33032
738	93167	32904
739	93297	32780
740	93421	32653
741	93561	32532
742	93669	32399
743	93796	32274
744	93907	32142
745	94031	32016
746	94154	31889
747	94284	31764
748	94387	31630
749	94538	31512
750	94652	31382
751	94782	31257
752	94908	31132
753	95033	31005
754	95156	30878
755	95274	30749
756	95398	30623
757	95527	30498
758	95665	30375
759	95791	30249
760	95914	30122
761	96043	29997
762	96166	29870
763	96299	29746
764	96418	29618
765	96542	29492
766	96694	29373
767	96820	29247
768	96939	29119
769	97067	28994
770	97194	28868
771	97321	28742
772	97448	28616
773	97564	28487
774	97680	28358
775	97889	28256
776	98013	28129
777	98139	28003
778	98271	27879
779	98395	27752
780	98511	27623
781	98644	27499
782	98754	27368
783	98900	27248
784	99059	27130
785	99198	27008
786	99347	26888
787	99475	26762
788	99608	26638
789	99730	26510
790	99851	26383
791	100029	26270
792	100153	26143
793	100277	26016
794	100394	25887
795	100528	25763
796	100644	25634
797	100767	25507
798	100895	25381
799	101045	25261
800	101178	25136
801	101306	25010
802	101432	24884
803	101551	24756
804	101666	24627
805	101788	24500
806	101918	24374
807	102079	24256
808	102244	24139
809	102376	24014
810	102524	23892
811	102653	23767
812	102780	23640
813	102916	23516
814	103044	23390
815	103201	23270
816	103325	23143
817	103450	23017
818	103587	22892
819	103716	22767
820	103844	22640
821	103960	22512
822	104089	22386
823	104284	22274
824	104419	22149
825	104558	22025
826	104687	21899
827	104814	21773
828	104942	21646
829	105057	21517
830	105174	21389
831	105341	21270
832	105468	21144
833	105587	21016
834	105715	20889
835	105850	20764
836	105999	20642
837	106126	20516
838	106248	20388
839	106426	20271
840	106564	20147
841	106695	20021
842	106842	19898
843	106973	19772
844	107099	19645
845	107234	19520
846	107359	19393
847	107518	19272
848	107658	19147
849	107792	19022
850	107924	18896
851	108065	18771
852	108191	18644
853	108310	18516
854	108447	18391
855	108603	18269
856	108741	18144
857	108879	18019
858	109015	17894
859	109153	17769
860	109284	17642
861	109424	17518
862	109585	17396
863	109709	17269
864	109829	17140
865	109953	17013
866	110064	16884
867	110191	16757
868	110325	16631
869	110456	16504
870	110587	16378
871	110746	16256
872	110876	16129
873	110998	16002
874	111120	15874
875	111276	15751
876	111402	15624
877	111530	15497
878	111646	15368
879	111797	15245
880	111919	15117
881	112045	14990
882	112174	14863
883	112306	14737
884	112421	14608
885	112552	14481
886	112680	14355
887	112847	14233
888	112978	14106
889	113102	13978
890	113231	13852
891	113362	13725
892	113502	13599
893	113637	13473
894	113757	13345
895	113908	13221
896	114033	13094
897	114168	12967
898	114320	12843
899	114462	12718
900	114602	12592
901	114744	12466
902	114925	12345
903	115062	12219
904	115213	12094
905	115368	11969
906	115551	11848
907	115689	11721
908	115839	11596
909	116109	11483
910	116249	11356
911	116385	11230
912	116521	11103
913	116657	10976
914	116775	10847
915	116908	10720
916	117040	10593
917	117202	10469
918	117333	10341
919	117458	10213
920	117584	10085
921	117718	9958
922	117854	9831
923	117991	9704
924	118112	9576
925	118272	9451
926	118399	9323
927	118539	9197
928	118660	9068
929	118787	8940
930	118912	8813
931	119028	8684
932	119158	8556
933	119331	8432
934	119471	8305
935	119608	8178
936	119727	8050
937	119857	7922
938	119969	7793
939	120105	7666
940	120238	7538
941	120395	7412
942	120516	7284
943	120623	7155
944	120738	7027
945	120863	6899
946	120988	6771
947	121125	6643
948	121259	6516
949	121369	6387
950	121530	6261
951	121660	6134
952	121778	6005
953	121894	5877
954	122023	5749
955	122154	5622
956	122279	5494
957	122407	5366
958	122566	5240
959	122695	5112
960	122817	4984
961	122946	4856
962	123069	4728
963	123197	4600
964	123339	4473
965	123473	4345
966	123639	4219
967	123769	4091
968	123898	3963
969	124014	3835
970	124142	3707
971	124277	3580
972	124400	3452
973	124533	3324
974	124694	3197
975	124822	3069
976	124944	2941
977	125060	2813
978	125186	2685
979	125305	2557
980	125430	2429
981	125539	2301
982	125666	2173
983	125825	2045
984	125930	1917
985	126050	1789
986	126173	1661
987	126302	1534
988	126428	1406
989	126556	1278
990	126680	1150
991	126849	1022
992	126971	895
993	127108	767
994	127230	639
995	127360	511
996	127486	383
997	127612	255
998	127733	127
999	127951	0
